CCAA;exp_ibertasa;title;Full_Address;City;latitude;longitude;Anno;Value;Total_Rooms;Individual_Rooms;Double_Rooms;DayCenter_Rooms;Validos;Assisted_1;Assisted_2;Ind_valid_price;Ind_assist1_price;double_valid_price;double_assist1_price;day_valid_price;day_assist1_price;ebitda;revenue1;revenue5;cost;Personnel;Amortization;Other_costs;Working_Capital;CAPEX;Ground_Area;Built_Area;Construction_Costs;Old;Ground_Value;VRB;VRN;sectorial_ratio;Rent_Optima;Fast_Sale
Madrid;473594;Residencia Castillo_Villaviciosa Odon;;;;;2017;1.953.047.522;37;7;27;;3;58;12;1525;1677.5;1143.75;1.258.125;;;0.199385458;1.071.783.801;1.146.152.248;0.153850021;0.510830636;0.068967325;0.135933885;0.014116258;0.0443;1959;2596.25;1.875.141.078;12;3.669.498.461;2617119.14;1.845.311.072;5.278.506.817;1.452.401.798;1.631.673.124
Madrid;480174;Residencia Ancianos Casablanca;;;;;2017;7.214.059.313;107;23;54;30;45;45;25;1739;1.888.554;14.179.806;156.749.982;710;;0.287282101;2.398.252.258;2.589.602.157;0.1;0.455331584;0.086644657;0.157386314;0.014116258;0.0443;4590;7583.43;5268482.39;4;5.318.196.236;6.853.998.492;6.133.270.101;6.742.111.508;4.764.650.187;5.860.772.183
Madrid;505969;Fundación Manantial;;;;;2017;3.100.577.256;144;38;50;21;144;0;0;2737.5;;761.25;;1087.5;;0.167878712;2.129.399.455;2.150.773.436;0.176;0.416121288;0.069673808;0.24;0.014116258;0.0443;5241.81;3379.1;3.762.839.065;0;7.667.031.993;5.282.110.077;5.282.110.077;215.317.865;1.995.861.402;2.495.326.407
Madrid;379704;Valdeluz El Escorial;Calle Nueve, nº 9, 28280 El Escorial, Madrid, ;Madrid;406.039.076;-4.052.417;2016;5.746.099.471;89;9;80;;17;34;118;1590;1828.5;1431;1645.65;;;0.174;3.313.348.133;3.622.062.659;0.136;0.5;0.115481912;0.19;0.014116258;0.0443;5375;10708.93;9.708.312.461;10;2.339.966.121;13989941.07;10658048.24;6.456.291.541;4.085.271.218;4.700.608.147
Madrid;379742;La Suiza Santa Rita;nº4, Calle de Berna, 28294 Robledo de Chavela, Madrid, ;Madrid;405.126.523;-42.399.445;2016;1.529.909.026;46;14;32;;0;17;25;;147.999.178;;1241;;;0.18;1.042.108.279;1.143.474.194;0.15;0.45;0.047483645;0.22;0.014116258;0.0443;2478;978;1.255.508.346;10;223020;1.729.630.015;1.298.739.551;3.325.889.187;1.104.545.374;1.270.915.615
Madrid;390163;SanyRes Loreto;;;;;2016;18975322.11;81;39;42;;25;49;49;2340;2630;1980;2270;;;0.421031565;3.469.707.605;3.628.487.985;0.07;0.34;0.130818577;0.19;0.014116258;0.0443;22260;10509.93;11506061.17;6;4.623.633.505;18430906.9;16069863.15;2.342.632.359;1.281.137.105;15276767.65
Madrid;432750;Rda. Los Enebros;;;;;2016;1.598.158.338;25;12;13;;25;13;0;1600;2000;1400;1800;;;0.267989484;727823.88;7.776.069.315;0.176;0.316010516;0.052435103;0.24;0.014116258;0.0443;742;1255.9;9.676.607.116;16;3.880.751.447;1.549.267.999;1.018.602.864;6.392.633.353;1.290.105.709;1.357.368.125
Madrid;433228;Residencia Galdama_Fuenlabrada;Av. de los Andes, 18, 28945 Fuenlabrada, Madrid, ;Madrid;402.949.046;-37.872.938;2016;5.157.438.981;89;;89;;8;8;11;;;1448.75;1.593.625;;;0.23;2.318.018.637;2.553.119.231;0.1;0.45;0.081404538;0.22;0.014116258;0.0443;5241.81;4969.32;4.783.325.315;6;665.868.323;6.405.858.702;5.424.320.347;579.487.526;3.527.684.406;4.206.545.481
Madrid;468330;EEE Conde los Gaitanes_Alcobendas;Alcobendas, Madrid, ;Madrid;405.372.512;-36.372.245;2017;5.013.931.235;43;20;23;;17;46;3;2111.85;24.286.275;1805;2075.75;;;0.241592176;1.592.589.207;1723483.37;0.15;0.398407824;0.091577545;0.21;0.014116258;0.0443;18754.76;3448.53;3.754.283.683;1;5.327.194.559;9.832.334.979;9765967.9;116.603.052;2.995.458.237;3.798.296.692
Madrid;470264;Santa Matilde;;;;;2017;1.881.732.717;44;13;31;0;56;20;0;1430;1630;1300;1500;;;0.136548027;2045684.16;2.233.971.275;0.039928932;0.388623041;0.037373357;0.4349;0.014116258;0.0443;5241.81;1623.55;1.968.189.108;6;1.837.837.995;4.199.664.924;3.765.810.564;4.276.665.265;118.677.968;1.439.787.693
Madrid;473594;Residencia Castillo_Villaviciosa Odon;;;;;2017;1.953.047.522;37;7;27;;3;58;12;1525;1677.5;1143.75;1.258.125;;;0.199385458;1.071.783.801;1.146.152.248;0.153850021;0.510830636;0.068967325;0.135933885;0.014116258;0.0443;1959;2596.25;1.875.141.078;12;3.669.498.461;2617119.14;1.845.311.072;5.278.506.817;1.452.401.798;1.631.673.124
Madrid;480174;Residencia Ancianos Casablanca;;;;;2017;7.214.059.313;107;23;54;30;45;45;25;1739;1.888.554;14.179.806;156.749.982;710;;0.287282101;2.398.252.258;2.589.602.157;0.1;0.455331584;0.086644657;0.157386314;0.014116258;0.0443;4590;7583.43;5268482.39;4;5.318.196.236;6.853.998.492;6.133.270.101;6.742.111.508;4.764.650.187;5.860.772.183
Madrid;505969;Fundación Manantial;;;;;2017;3.100.577.256;144;38;50;21;144;0;0;2737.5;;761.25;;1087.5;;0.167878712;2.129.399.455;2.150.773.436;0.176;0.416121288;0.069673808;0.24;0.014116258;0.0443;5241.81;3379.1;3.762.839.065;0;7.667.031.993;5.282.110.077;5.282.110.077;215.317.865;1.995.861.402;2.495.326.407
Madrid;321690;Sanyres Loreto;;;;;2017;11667226.52;125;101;22;;25;31;92;1.600.733.136;1.764.062.182;1.448.627.273;1.596.436.364;;;0.381592821;3138458.98;3.250.482.324;0.12;0.388407179;0.101343371;0.11;0.014116258;0.0443;;8233.66;7.866.072.361;8;3.940.052.887;13379339.72;11217743.03;9.333.781.219;8.003.783.671;9509544.18
Madrid;379700;Los Nogales;Calle Alcobendas, 12, 28033 Madrid;Madrid;4.047.887;-3.642.025;2017;1.608.750.099;25;12;13;;25;13;0;1600;2000;1400;1800;;;0.277663275;750.807.792;7.776.069.315;0.176;0.306336725;0.051002715;0.24;0.014116258;0.0443;742;1267.9;9.717.451.094;17;4.122.388.098;1.578.332.941;1.011.611.193;6.435.000.394;1.314.407.091;1.371.854.043
Madrid;379704;Valdeluz El Escorial;19139 Valdeluz, Guadalajara, ;Guadalajara;405.921.932;-31.095.699;2018;11901058.82;153;128;0;0;178;0;0;2271.25;;;;;;0.248086177;4233436.2;4.653.196.791;0.126868681;0.495333333;0.082372289;0.129711808;0.014116258;0.0443;4045.4;9776.59;8.840.609.257;11;9058752.53;19667483.64;16336342.07;7.778.469.816;8.172.461.916;9444276.12
Madrid;379742;La Suiza Santa Rita;nº4, Calle de Berna, 28294 Robledo de Chavela, Madrid, ;Madrid;405.126.523;-42.399.445;2018;10261816.25;110;35;75;;111;74;0;1950;2145;1560;1716;;;0.193913708;2376410.4;3.514.992.981;0.16;0.436086292;0.113014226;0.21;0.014116258;0.0443;20979;10919.6;6.811.511.887;0;1.013.378.098;9.187.192.363;9.187.192.363;9.328.923.865;6.460.234.632;8.114.859.994
Madrid;390163;SanyRes Loreto;;;;;2018;4.230.383.457;175;30;90;;0;0;0;;;;;;;0.22901781;1819898.65;2.185.435.337;0.10715;0.476912779;0.042821356;0.186919411;0.014116258;0.0443;;2058.14;1.962.311.993;6;3.431.722.055;5.786.496.447;5.393.249.123;2.417.361.975;2.611.848.872;3.425.677.941
Madrid;432750;Rda. Los Enebros;;;;;2018;5887224.19;55;1;54;;16;44;49;2082;2200;1527;1618;;;0.255932349;1.982.839.363;2.147.018.832;0.1;0.474067651;0.084579079;0.17;0.014116258;0.0443;959.93;3669.72;4.255.795.797;8;3.318.714.779;8.425.669.735;7256177.05;1.070.404.398;392.053.854;4.677.655.124
Madrid;506713;Residencia Dunial Hall;;;;;2017;1700271.83;0;0;;;0;0;0;2147.41;;;;;;0.717;0;0;0;0;0;0;0.014116258;0.0443;482;1342.83;1192315.61;5;1.349.230.558;2780009.29;2.575.407.931;4.857.919.513;1.095.525.656;1.338.718.993
Valencia;358317;residencia geriatrica la Vila;03570 Villajoyosa, Alicante, ;Alicante;385.079.606;-0.2285807;2015;2.953.367.763;44;9;20;15;22;18;7;1557;1515;935;1210;962;;0.212355047;7.769.692.476;9.349.996.628;0.08;0.4;0.09019327;0.15;0.0443;0.09019327;;4998.18;2.177.350.867;6;0;2612821.04;2.166.028.642;6.712.199.461;1.943.705.605;2.386.039.969
Valencia;386319;SAVIA SILLA;Ctra. Valencia-Alicante, 46460 Silla, Valencia, ;Valencia;393.501.439;-0.4081836;2016;2.519.610.966;99;14;55;30;44;12;98;1.576.735.458;1.576.735.458;140.913.188;140.913.188;435.38;;0.064591093;2.067.816.883;2.354.277.067;0.083;0.534032163;0.06484638;0.232;0.0443;0.06484638;11510.85;11510.85;3.399.428.066;11;24864.35;4.104.178.029;2.823.273.534;3.651.610.096;1.860.743.516;2.116.839.952
Valencia;386325;SAVIA ALBORACHE;Calle San Jaime, s/n, 46369 Alborache, Valencia, ;Valencia;393.899.192;-0.7707848;2016;2.456.264.547;69;14;55;;14;12;98;1.576.735.458;1.576.735.458;140.913.188;140.913.188;435.38;;0.058934897;2017423.39;2.299.189.454;0.083;0.534032163;0.072387975;0.232;0.0443;0.072387975;13804;13804;3.704.647.215;12;30216.12;4.475.792.778;2.950.959.984;3.559.803.692;1.845.193.109;2.072.947.037
Valencia;484131;Residencia Geriatrica El Saler;;;;;2017;3.947.563.062;78;35;43;;73;24;24;1695;1864.5;1440.75;1610.25;;;0.194452718;2.324.426.134;2407088.54;0.159853769;0.513029854;0.0771054;0.132663659;0.014116258;0.0443;5241.81;5370.73;4.546.570.425;12;1.281.079.484;6.736.963.994;4.865.595.607;5.060.978.285;2.870.905.006;3.275.081.099
Valencia;526843;Residencia Novaedat_Xativa;Avenida Rivera, 2, 46800 Xàtiva, Valencia, ;Valencia;389.948.261;-0.5155768;2017;4.976.453.725;78;36;42;;26;14;14;1.444.545.455;1.572.272.727;1.338.636.364;1.444.545.455;;;0.169743262;2.429.839.401;2.716.027.084;0.191;0.522256738;0.070778682;0.117;0.014116258;0.0443;6500;5223.98;4.361.832.625;7;6.222.717.376;5.856.470.887;4.809.631.057;6.380.068.878;3.381.325.116;4.052.420.058
Valencia;539523;Residencia Ballesol Costa Blanca Senior Resort - Villajoyosa;Carrer Tramuntana, 2, 03570 La Vila Joiosa, Alicante, ;Alicante;3.852.359;-0.1704881;2017;10030750.56;149;116;33;;82;70;30;1.454.545.455;1.672.727.273;1.309.090.909;1.505.454.545;;;0.242899964;3.047.903.712;3.307.145.279;0.13;0.462613039;0.18859315;0.218;0.014116258;0.0443;9609;24774.57;14586713.65;8;3.102.505.767;20606562.15;16598133.24;6.732.047.354;6.832.865.527;8.152.397.463
Valencia;552137;Residencia Virgen de Cortes;;;;;2018;1.283.891.939;23;2;21;;24;11;8;1.363.636.364;1.363.636.364;1.090.909.091;1.090.909.091;;;0.26;5.863.174.756;620.749.729;0.1;0.4;0.098233052;0.24;0.014116258;0.0443;1947;2631.74;1.459.766.603;13;134503.87;1.886.223.793;1.236.335.702;5.582.138.864;9.641.361.588;1.084.262.523
Valencia;587770;Residencia Novaedat Estivella;;;;;2018;1.760.996.092;39;4;35;;30;22;22;1390;1529;1181.5;1299.65;;;0.177500362;1.016.217.011;1.103.144.179;0.15;0.462499638;0.056709189;0.21;0.014116258;0.0443;4549;1751.47;1.462.413.521;8;202.063.792;1.956.960.018;1.555.088.782;4.515.374.594;1.217.591.536;1.446.658.353
Valencia;596303;Residencia 3ª edad Odamar;;;;;2018;8.379.853.797;14;;14;;1;19;8;;;1400;1498;;;0.184616761;4.953.825.677;5.188.889.202;0.1524;0.452983239;0.056800297;0.21;0.014116258;0.0443;1788;2122.76;7.140.384.965;8;1.493.020.434;1.006.148.239;8.099.304.604;5.985.609.855;5.760.864.163;6.873.376.068
Valencia;618240;Residencia Geriatrica Torrevieja;Calle Maestro Francisco Casanovas, 26, 03182 Torrevieja, Alicante, ;Alicante;379.829.089;-0.6735777;2018;8.029.071.803;141;103;38;;72;107;0;1599;1758.9;1279.2;1407.12;;;0.239888894;2.512.622.549;2.885.501.747;0.176;0.374111106;0.094562126;0.21;0.014116258;0.0443;;10183.52;6.024.474.407;16;4.739.641.548;11969010.84;8.665.189.071;5.694.377.166;6.225.890.387;6.618.030.021
